species                                ,type
Arrowtooth Flounder                    ,Flatfish
Big Skate                              ,"Sharks, skates, chimeras"
Bocaccio                               ,Shelf rockfish
Canary Rockfish                        ,Shelf rockfish
Dover Sole                             ,Flatfish
English Sole                           ,Flatfish
Lingcod                                ,Roundfish
Longnose Skate                         ,"Sharks, skates, chimeras"
North Pacific Spiny Dogfish            ,"Sharks, skates, chimeras"
Pacific Cod                            ,Roundfish
Pacific Ocean Perch                    ,Slope rockfish
Petrale Sole                           ,Flatfish
Quillback Rockfish                     ,Inshore rockfish
Redstripe Rockfish                     ,Shelf rockfish
Rex Sole                               ,Flatfish
Rougheye/Blackspotted Rockfish Complex ,Slope rockfish
Shortraker Rockfish                    ,Slope rockfish
Shortspine Thornyhead                  ,Slope rockfish
Silvergray Rockfish                    ,Shelf rockfish
Southern Rock Sole                     ,Flatfish
Spotted Ratfish                        ,"Sharks, skates, chimeras"
Walleye Pollock                        ,Roundfish
Widow Rockfish                         ,Shelf rockfish
Yelloweye Rockfish                     ,Inshore rockfish
Yellowmouth Rockfish                   ,Slope rockfish
Yellowtail Rockfish                    ,Shelf rockfish
Sablefish                              ,Roundfish
